Gene ID	Gene Symbol	Genome	Species	Gene Name	Functional Descriptions	function-related-keywords	literature	Related News	NCBI ID	UniProt accessions	Orthologs	CDS Sequence	Protein Sequence	Title
TraesCS3A02G217000	Ms5	Chinese_Spring1.0	Triticum aestivum		['Wheat Ms5 male-sterility is induced by recessive homoeologous A and D genome non-specific lipid transfer proteins.', 'Allelic forms of TaMs5-B in bread and durum wheat are non-functional.', 'We show Ms5 locates to a centromere-proximal interval and has a sterility inheritance pattern modulated by TaMs5-D but not TaMs5-B.', 'Identify TaMs5 as a glycosylphosphatidylinositol-anchored lipid transfer protein required for normal pollen exine development, and by transgenic complementation demonstrate that TaMs5-A restores fertility to Ms5.']	['development', 'fertility', 'pollen', 'sterility', 'pollen-development', 'male-sterility', 'male-fertility', 'pollen-fertility']	['Wheat ms5 male-sterility is induced by recessive homoeologous A and D genome non-specific lipid transfer proteins.', '10.1111/tpj.14350', '31009129']	[]		A0A3B6EI01		CDS Sequence:	Protein Sequence:	Ms5
TraesCS2D02G324700	NAC100_D	Chinese_Spring1.0	Triticum aestivum		['The assay showed that the reporter activities driven by the promoters of TaAGPL1-1B, TaHWM-1D and TaISA2-1B were markedly activated in the presence of NAC100-A or NAC100-D, suggested that NAC100 regulates both starch and protein synthesis pathways.', 'NAC100 and MYB could coordinately regulate same targets (TaAGPL1-1B and TaISA2-1B).', 'NAC100_D is involved in the starch and protein biosynthesis during wheat grain development.']	['development', 'grain', 'starch', 'starch-biosynthesis', 'grain-protein']	['Chromatin accessibility landscapes revealed the subgenome-divergent regulation networks during wheat grain development.', '10.1007/s42994-023-00095-8', '37220536']	[]		A0A1D5UHY0		CDS Sequence:	Protein Sequence:	NAC100_D
TraesCS6A02G108300	NAM-A1	Chinese_Spring1.0	Triticum aestivum		['The ancestral wild wheat allele encodes a NAC transcription factor (NAM-B1) that accelerates senescence and increases nutrient remobilization from leaves to developing grains, whereas modern wheat varieties carry a nonfunctional NAM-B1 allele.', 'Reduction in RNA levels of the multiple NAM homologs by RNA interference delayed senescence by more than 3 weeks and reduced wheat grain protein, zinc, and iron content by more than 30%.']	['transcription-factor', 'senescence', 'grain', 'zinc', 'iron', 'grain-protein-content', 'grain-protein', 'iron-content']	['A NAC Gene regulating senescence improves grain protein, zinc, and iron content in wheat.', '10.1126/science.1133649', '17124321']	[]		A0A3B6NLQ4		CDS Sequence:	Protein Sequence:	NAM-A1
TraesCS6D02G096300	NAM-D1	Chinese_Spring1.0	Triticum aestivum		['The ancestral wild wheat allele encodes a NAC transcription factor (NAM-B1) that accelerates senescence and increases nutrient remobilization from leaves to developing grains, whereas modern wheat varieties carry a nonfunctional NAM-B1 allele.', 'Reduction in RNA levels of the multiple NAM homologs by RNA interference delayed senescence by more than 3 weeks and reduced wheat grain protein, zinc, and iron content by more than 30%.']	['transcription-factor', 'senescence', 'grain', 'zinc', 'iron', 'grain-protein-content', 'grain-protein', 'iron-content']	['A NAC Gene regulating senescence improves grain protein, zinc, and iron content in wheat.', '10.1126/science.1133649', '17124321']	[]		A0A3B6QB09		CDS Sequence:	Protein Sequence:	NAM-D1
TraesCS2B02G182800	Ne2	Chinese_Spring1.0	Triticum aestivum		['Ne2, is a serious barrier for combining desirable traits from different genotypes of wheat, affecting the full utilisation of heterosis.', 'Genetic analyses of a Ne2 allele (Ne2m) and leaf rust resistance gene LrLC10/Lr13 revealed that they might be the same gene.', 'Ne2, a typical CC–NBS–LRR-type gene, is responsible for hybrid necrosis in wheat.', 'These results confirmed that TraesCS2B01G182800 is Ne2 and responsible for hybrid necrosis in wheat lines containing Ne1 allele.', 'Frequency of Ne2 allele is significantly increased in wheat breeding.']	['leaf', 'resistance', 'breeding', 'heterosis', 'rust-resistance', 'rust']	['Ne2, a typical CC-NBS-LRR-type gene, is responsible for hybrid necrosis in wheat.', '10.1111/nph.17575', '34160845']	[]		A0A3B6C240		CDS Sequence:	Protein Sequence:	Ne2
TraesCS3D02G468400	PHS-3D	Chinese_Spring1.0	Triticum aestivum		['We demonstrate that PHS-3D is Myb10-D and negatively controls germination by activating 9-cis-epoxycarotenoid dioxygenase (NCED) transcription, which is involved in ABA biosynthesis; deepening grain color and increasing barriers to water uptake in wheat.', 'These results support the assumption that the Myb10-D identified as PHS-3D is involved in PHS resistance in wheat.', 'Myb10-D confers PHS-3D resistance to pre-harvest sprouting by regulating NCED in ABA biosynthesis pathway of wheat.', 'PHS-3D is Myb10-D and negatively controls germination by activating 9-cis-epoxycarotenoid dioxygenase (NCED) transcription, which is involved in ABA biosynthesis; deepening grain color and increasing barriers to water uptake in wheat.']	['grain', 'resistance', 'aba', 'aba-biosynthesis']	['Myb10-D confers PHS-3D resistance to pre-harvest sprouting by regulating NCED in ABA biosynthesis pathway of wheat.', '10.1111/nph.17312', '33651378']	[]		A0A3B6H551		CDS Sequence:	Protein Sequence:	PHS-3D
TraesCS5D02G004100	Pina	Chinese_Spring1.0	Triticum aestivum		['The deletion of the Pina and Pinb genes resulted in the loss of the softness-conferring PIN proteins in durum wheat.', 'In hexaploid wheat, the tight linkage among these three genes has not been broken, such that the Ha locus haplotype (Pina-D1, Pinb-D1 and Gsp-D1) is associated with kernel texture phenotype.', 'Both Pin genes have been deleted from chromosomes 5A and 5B during the evolution of durum wheat (the contributor of A and B genomes of common wheat). In contrast, all three Gsp-1 genes (from the A, B and D genomes) are conserved in common wheat.']	['kernel-texture']	['Molecular genetics of puroindolines and related genes: allelic diversity in wheat and other grasses.', '10.1007/s11103-007-9263-7', '18049798']	[]		V5RL87		CDS Sequence:	Protein Sequence:	Pina
TraesCS5D02G004300	Pinb	Chinese_Spring1.0	Triticum aestivum		['The deletion of the Pina and Pinb genes resulted in the loss of the softness-conferring PIN proteins in durum wheat.', 'In hexaploid wheat, the tight linkage among these three genes has not been broken, such that the Ha locus haplotype (Pina-D1, Pinb-D1 and Gsp-D1) is associated with kernel texture phenotype.', 'Both Pin genes have been deleted from chromosomes 5A and 5B during the evolution of durum wheat (the contributor of A and B genomes of common wheat). In contrast, all three Gsp-1 genes (from the A, B and D genomes) are conserved in common wheat.']	['kernel-texture']	['Molecular genetics of puroindolines and related genes: allelic diversity in wheat and other grasses.', '10.1007/s11103-007-9263-7', '18049798']	[]		B6Z278		CDS Sequence:	Protein Sequence:	Pinb
TraesCS7A02G514400	Pinb2-1	Chinese_Spring1.0	Triticum aestivum		['We developed new Pinb2 allele specific markers and demonstrated their usefulness by identifying new Pinb2 alleles in Triticeae species performing an association analysis of Pinb2 with kernel hardness.', 'Pinb and Pinb2 loci with kernel hardness phenotypes was determined by a Chi-square test of independence.', 'Using the high-quality bread wheat reference genome, we show that PINB2 are encoded by three homoeologous loci Pinb2 not syntenic to the Hardness locus, with Pinb2-7A locus containing three tandem copies.', 'PINB2 proteins have several features conserved for the Pin/Pinb2 phylogenetic cluster but lack a structural basis of significant impact on kernel hardness. Pinb2 are seed-specifically expressed with varied expression levels between the homoeologous copies and among wheat varieties.']	['seed', 'quality']	['Genomics-Enabled Analysis of Puroindoline b2 Genes Identifies New Alleles in Wheat and Related Triticeae Species.', '10.3390/ijms21041304', '32075191']	[]		H6U4H1		CDS Sequence:	Protein Sequence:	Pinb2-1
TraesCS7A02G514500	Pinb2-2	Chinese_Spring1.0	Triticum aestivum		['We developed new Pinb2 allele specific markers and demonstrated their usefulness by identifying new Pinb2 alleles in Triticeae species performing an association analysis of Pinb2 with kernel hardness.', 'Pinb and Pinb2 loci with kernel hardness phenotypes was determined by a Chi-square test of independence.', 'Using the high-quality bread wheat reference genome, we show that PINB2 are encoded by three homoeologous loci Pinb2 not syntenic to the Hardness locus, with Pinb2-7A locus containing three tandem copies.', 'PINB2 proteins have several features conserved for the Pin/Pinb2 phylogenetic cluster but lack a structural basis of significant impact on kernel hardness. Pinb2 are seed-specifically expressed with varied expression levels between the homoeologous copies and among wheat varieties.']	['seed', 'quality']	['Genomics-Enabled Analysis of Puroindoline b2 Genes Identifies New Alleles in Wheat and Related Triticeae Species.', '10.3390/ijms21041304', '32075191']	[]		H6U7Z1		CDS Sequence:	Protein Sequence:	Pinb2-2
TraesCS7A02G514505	Pinb2-3	Chinese_Spring1.0	Triticum aestivum		['We developed new Pinb2 allele specific markers and demonstrated their usefulness by identifying new Pinb2 alleles in Triticeae species performing an association analysis of Pinb2 with kernel hardness.', 'Pinb and Pinb2 loci with kernel hardness phenotypes was determined by a Chi-square test of independence.', 'Using the high-quality bread wheat reference genome, we show that PINB2 are encoded by three homoeologous loci Pinb2 not syntenic to the Hardness locus, with Pinb2-7A locus containing three tandem copies.', 'PINB2 proteins have several features conserved for the Pin/Pinb2 phylogenetic cluster but lack a structural basis of significant impact on kernel hardness. Pinb2 are seed-specifically expressed with varied expression levels between the homoeologous copies and among wheat varieties.']	['seed', 'quality']	['Genomics-Enabled Analysis of Puroindoline b2 Genes Identifies New Alleles in Wheat and Related Triticeae Species.', '10.3390/ijms21041304', '32075191']	[]		H7BSP0		CDS Sequence:	Protein Sequence:	Pinb2-3
	Pm1a		Triticum aestivum		['Pm1a, the first powdery mildew resistance gene described in wheat, is part of a complex resistance (R) gene cluster located in a distal region of chromosome 7AL that has suppressed genetic recombination.', 'The cloning of Pm1a and its identification in a highly rearranged region of chromosome 7A provides insight into the role of chromosomal rearrangements in the evolution of this complex resistance cluster.', 'Two pathogen loci determine Blumeria graminis f. sp. tritici virulence to wheat resistance gene Pm1a.', 'Pm1a encodes a typical NLR protein that triggers a hypersensitive immune reaction upon recognition of the pathogen-derived effector protein encoded by the avirulence (Avr) gene AvrPm1a, which was also cloned using a B. graminis bi-parental mapping population.']	['resistance', 'r-protein', 'pathogen', 'recombination', 'pathogen-resistance', 'powdery-mildew', 'mildew-resistance', 'mildew', 'powdery-mildew-resistance', 'protein']	['Two pathogen loci determine Blumeria graminis f. sp. tritici virulence to wheat resistance gene Pm1a.', '10.1111/nph.18809', '36772855']	[]	CAD1803021		[]	CDS Sequence:	Protein Sequence:	Pm1a
TraesCS5D02G044600	Pm2	Chinese_Spring1.0	Triticum aestivum		['We apply MutChromSeq to six mutants each of the barley Eceriferum-q gene and the wheat Pm2 genes.', 'Pm2 promotes powdery mildew resistance in wheat.']	['resistance', 'powdery-mildew', 'mildew-resistance', 'mildew', 'powdery-mildew-resistance']	['Rapid gene isolation in barley and wheat by mutant chromosome sequencing.', '10.1186/s13059-016-1082-1', '27795210']	[]		A0A3B6MJ68		CDS Sequence:	Protein Sequence:	Pm2
	Pm21	Chinese_Spring1.0	Triticum aestivum		['Pm21 from Haynaldia villosa Encodes a CC-NBS-LRR Protein Conferring Powdery Mildew Resistance in Wheat.', 'Pm21 from the wild species Haynaldia villosa (also known as Dasypyrum villosum) confers high resistance to Bgt in wheat throughout all growth stages.', 'These results indicate that NLR1-V could restore the resistance of SM-1 to the same level as could Pm21 and that, by preventing Bgt-induced haustoria formation, NLR1-V positively contributes to powdery mildew resistance.', 'Serine/threonine kinase gene Stpk-V, a key member of powdery mildew resistance gene Pm21, confers powdery mildew resistance in wheat.']	['growth', 'kinase', 'resistance', 'protein-kinase', 'powdery-mildew', 'mildew-resistance', 'mildew', 'powdery-mildew-resistance']	['Pm21 from Haynaldia villosa Encodes a CC-NBS-LRR Protein Conferring Powdery Mildew Resistance in Wheat', '10.1016/j.molp.2018.02.013', '', 'Serine/threonine kinase gene Stpk-V, a key member of powdery mildew resistance gene Pm21, confers powdery mildew resistance in wheat.', '10.1073/pnas.1016981108', '21508323']	[]	MF716955			CDS Sequence:	Protein Sequence:	Pm21
